case_id,case_label,description,warmup_days,substeps_per_hour,use_view_factor_radiation,interior_convection_model,exterior_convection_model,use_interior_radiative_exchange,use_surface_aware_solar_distribution,use_beam_solar_distribution,distribute_transmitted_solar_to_fvm_walls,fvm_wall_solar_to_air,transmitted_solar_to_air_fraction,internal_gains_to_mass_fraction,interior_solar_absorptance,floor_internal_mass,annual_heating_kwh,annual_cooling_kwh,err_heating_kwh,err_heating_pct,err_cooling_kwh,err_cooling_pct,delta_heating_vs_suite_kwh,delta_cooling_vs_suite_kwh
suite_baseline,Suite baseline,bestest_energy_suite Case 900 modeling style,7,6,false,tarp,doe2,true,true,true,false,false,0.000000,0.600000,0.600000,false,1921.454,2593.597,260.284,15.669,95.437,3.820,0.000,0.000
suite_fixed_convection,Suite + fixed convection,replace TARP/DOE2 with fixed interior/exterior films,7,6,false,fixed,fixed,true,true,true,false,false,0.000000,0.600000,0.600000,false,1948.066,2683.344,286.896,17.271,185.184,7.413,26.613,89.748
suite_no_interior_radiation,Suite + no interior radiation,disable interior radiative split,7,6,false,tarp,doe2,false,true,true,false,false,0.000000,0.600000,0.600000,false,1921.454,2593.597,260.284,15.669,95.437,3.820,0.000,0.000
suite_view_factor_radiation,Suite + view-factor LW,enable per-surface MRT view-factor radiation,7,6,true,tarp,doe2,true,true,true,false,false,0.000000,0.600000,0.600000,false,2146.988,2225.766,485.818,29.246,-272.394,-10.904,225.535,-367.830
suite_no_beam_split,Suite + no beam split,disable beam-vs-diffuse interior solar handling,7,6,false,tarp,doe2,true,true,false,false,false,0.000000,0.600000,0.600000,false,2081.139,2573.747,419.969,25.282,75.587,3.026,159.685,-19.849
suite_no_surface_aware,Suite + no surface-aware solar,route transmitted solar by non-surface-aware path,7,6,false,tarp,doe2,true,false,true,false,false,0.000000,0.600000,0.600000,false,3192.640,5426.516,1531.470,92.192,2928.356,117.221,1271.186,2832.920
suite_transmit_to_air_30,Suite + 30% transmitted solar to air,shift part of transmitted solar directly to air node,7,6,false,tarp,doe2,true,true,true,false,false,0.300000,0.600000,0.600000,false,1467.725,4722.506,-193.445,-11.645,2224.346,89.039,-453.729,2128.910
suite_distribute_to_fvm_walls,Suite + distribute to FVM walls,include FVM wall area for transmitted/radiant source splitting,7,6,false,tarp,doe2,true,true,true,true,false,0.000000,0.600000,0.600000,false,1921.454,2593.597,260.284,15.669,95.437,3.820,0.000,0.000
suite_wall_share_to_air,Suite + wall share rerouted to air,when distributing to walls redirect wall share into air gains,7,6,false,tarp,doe2,true,true,true,true,true,0.000000,0.600000,0.600000,false,2117.250,3747.541,456.080,27.455,1249.381,50.012,195.796,1153.944
suite_alpha_1p0,Suite + alpha = 1.0,100% first-hit interior solar absorptance (no bounce pool),7,6,false,tarp,doe2,true,true,true,false,false,0.000000,0.600000,1.000000,false,1844.732,2674.627,183.562,11.050,176.467,7.064,-76.722,81.030
suite_no_warmup,Suite + no warmup,solver control: 0 warmup days,0,6,false,tarp,doe2,true,true,true,false,false,0.000000,0.600000,0.600000,false,1920.284,2593.597,259.114,15.598,95.437,3.820,-1.170,0.000
suite_substeps_1,Suite + 1 substep,solver control: 1 substep per hour,7,1,false,tarp,doe2,true,true,true,false,false,0.000000,0.600000,0.600000,false,1917.041,2591.058,255.871,15.403,92.898,3.719,-4.413,-2.538
